ID,smiles,value,gas
179,[*]CC([*])CC(C)C,1.485747369,N2
180,[*]CC([*])CC(C)C,2.341031608,O2
181,[*]CC([*])c1ccc(Br)cc1,6.251335021,CH4
182,[*]CC([*])c1ccc(Br)cc1,18.21298417,CO2
183,[*]CC([*])c1ccc(Br)cc1,1.112780955,N2
184,[*]CC([*])c1ccc(Br)cc1,1.64225397,O2
185,[*]CC([*])c1ccc(C(C)(C)C)cc1,13.10136423,CH4
186,[*]CC([*])c1ccc(C(C)(C)C)cc1,97.2318274,CO2
187,[*]CC([*])c1ccc(C(C)(C)C)cc1,1.964517431,N2
188,[*]CC([*])c1ccc(C(C)(C)C)cc1,2.954760898,O2
189,[*]CC([*])c1ccc(C)cc1,14.60895555,CH4
190,[*]CC([*])c1ccc(C)cc1,104.5359462,CO2
191,[*]CC([*])c1ccc(C)cc1,2.20339315,N2
192,[*]CC([*])c1ccc(C)cc1,3.322483132,O2
193,[*]CC([*])c1ccc(Cl)cc1,2.496709539,CH4
194,[*]CC([*])c1ccc(Cl)cc1,18.11178491,CO2
195,[*]CC([*])c1ccc(Cl)cc1,0.368613909,N2
196,[*]CC([*])c1ccc(Cl)cc1,0.704538284,O2
197,[*]CC([*])c1ccc(F)cc1,6.251335021,CH4
198,[*]CC([*])c1ccc(F)cc1,18.21298417,CO2
199,[*]CC([*])c1ccc(F)cc1,1.112780955,N2
200,[*]CC([*])c1ccc(F)cc1,1.64225397,O2
201,[*]CC([*])c1ccc(OC(C)=O)cc1,13.85010889,CH4
202,[*]CC([*])c1ccc(OC(C)=O)cc1,110.1021909,CO2
203,[*]CC([*])c1ccc(OC(C)=O)cc1,1.946068218,N2
204,[*]CC([*])c1ccc(OC(C)=O)cc1,3.016502977,O2
205,[*]CC([*])c1ccc(OC)cc1,1.996458352,CH4
206,[*]CC([*])c1ccc(OC)cc1,5.919489956,CO2
207,[*]CC([*])c1ccc(OC)cc1,0.359534081,N2
208,[*]CC([*])c1ccc(OC)cc1,0.572291996,O2
209,[*]CC([*])c1ccccc1,1.393054085,CH4
210,[*]CC([*])c1ccccc1,5.30139775,CO2
211,[*]CC([*])c1ccccc1,0.218271352,N2
212,[*]CC([*])c1ccccc1,0.416956055,O2
213,[*]CC([*])c1ccncc1,6.310872483,CH4
214,[*]CC([*])c1ccncc1,48.48480761,CO2
215,[*]CC([*])c1ccncc1,0.845339487,N2
216,[*]CC([*])c1ccncc1,1.466834233,O2
217,[*]c1ccc(OCCC(O)Oc2ccc(C([*])(C)C)cc2)cc1,1.769920412,CH4
218,[*]c1ccc(OCCC(O)Oc2ccc(C([*])(C)C)cc2)cc1,11.09555159,CO2
219,[*]c1ccc(OCCC(O)Oc2ccc(C([*])(C)C)cc2)cc1,0.270029655,N2
220,[*]c1ccc(OCCC(O)Oc2ccc(C([*])(C)C)cc2)cc1,0.505463211,O2
221,[*]CCCCCCCCCCNC([*])=O,9.3401541,CH4
222,[*]CCCCCCCCCCNC([*])=O,59.78421247,CO2
223,[*]CCCCCCCCCCNC([*])=O,1.302602461,N2
224,[*]CCCCCCCCCCNC([*])=O,2.123354339,O2
225,[*]C[*],0.874085,CH4
226,[*]C[*],2.654377,CO2
227,[*]C[*],0.153302,N2
228,[*]C[*],0.280551,O2
229,[*]c1cc(Br)c(OC(=O)Oc2c(Br)cc(C([*])(C)C)cc2Br)c(Br)c1,8.385187083,CH4
230,[*]c1cc(Br)c(OC(=O)Oc2c(Br)cc(C([*])(C)C)cc2Br)c(Br)c1,29.43532231,CO2
231,[*]c1cc(Br)c(OC(=O)Oc2c(Br)cc(C([*])(C)C)cc2Br)c(Br)c1,1.190754276,N2
232,[*]c1cc(Br)c(OC(=O)Oc2c(Br)cc(C([*])(C)C)cc2Br)c(Br)c1,1.902383933,O2
233,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,4.596942625,CH4
234,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,22.889399,CO2
235,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,0.719507108,N2
236,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1,1.255330611,O2
237,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,6.445731951,CH4
238,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,26.46955713,CO2
239,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,1.139678427,N2
240,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1,1.789863877,O2
241,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1,4.992521395,CH4
242,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1,27.43411012,CO2
